牌局名稱,局數,玩家,分數,胡牌次數,自摸次數,放槍次數,被自摸次數,下家胡牌,下家自摸,單局最高分,最高連莊,最高台數
長勝 45,75,小智,260,9,8,10,20,11,7,300,2,8
長勝 44,37,小智,-710,3,3,9,9,7,1,410,1,5
長勝 43,75,小智,-810,13,3,11,16,11,6,470,1,10
長勝 42,81,小智,220,10,8,12,18,11,5,490,2,9
長勝 41,68,小智,-140,9,5,15,12,16,3,330,3,10
長勝 40,51,小智,1150,9,6,9,7,6,3,360,4,12
長勝 39,96,小智,-590,9,6,13,19,20,6,390,1,13
長勝 38,68,小智,-390,8,3,9,13,12,6,260,1,10
長勝 37,59,小智,1100,15,5,11,7,8,2,350,2,4
長勝 36,48,小智,-630,9,1,7,14,7,6,150,3,7
長勝 35,85,小智,-1710,15,2,13,19,9,8,290,4,6
長勝 34,70,小智,670,11,5,16,11,12,6,710,3,10
長勝 33,49,小智,-480,2,4,8,12,9,5,240,2,5
長勝 32,73,小智,-1470,9,3,9,18,14,5,390,1,8
長勝 31,113,小智,-780,19,6,19,28,21,9,530,3,8
長勝 30,45,小智,-640,7,1,13,7,10,2,230,1,8
長勝 29,52,小智,90,12,3,8,13,9,3,260,2,13
長勝 28,90,小智,160,11,9,11,19,14,7,410,2,8
長勝 27,46,小智,520,8,6,4,8,6,5,170,2,6
長勝 26,52,小智,1030,10,8,12,8,6,2,240,6,11
長勝 25,70,小智,300,6,6,12,17,6,8,430,1,12
長勝 24,72,小智,-360,8,4,8,17,11,4,210,2,6
長勝 23,90,小智,310,14,7,13,22,11,9,670,2,16
長勝 22,61,小智,-340,9,4,8,14,7,4,260,3,23
長勝 21,52,小智,-800,6,2,8,13,9,3,190,1,9
長勝 20,49,小智,-200,13,2,11,8,9,5,210,1,6
長勝 19,47,小智,430,9,3,4,9,8,3,330,1,10
長勝 18,45,小智,1290,12,6,4,7,6,3,270,3,9
長勝 17,71,小智,-600,10,2,9,11,16,2,510,1,12
長勝 16,47,小智,-170,7,2,10,13,7,7,390,0,12
長勝 15,49,小智,60,6,5,5,14,5,4,220,0,9
長勝 14,68,小智,-70,11,3,9,15,15,5,330,2,10
太陽鳥 29,56,小智,-10,9,3,10,11,9,2,210,4,8
長勝 13,44,小智,-430,7,0,10,5,11,2,60,3,3
長勝 12,47,小智,-150,6,3,9,10,12,2,240,1,9
太陽鳥 28,42,小智,-350,10,2,6,13,3,4,190,1,4
太陽鳥 27,73,小智,-80,9,6,10,15,8,4,250,2,10
長勝 11,63,小智,180,16,4,13,13,10,3,270,1,6
太陽鳥 26,52,小智,-810,6,2,11,10,9,2,160,1,3
太陽鳥 25,44,小智,-840,6,0,7,9,13,1,60,1,3
太陽鳥 24,66,小智,50,10,5,8,15,8,6,200,1,7
太陽鳥 23,50,小智,-340,5,2,9,11,14,4,310,2,12
長勝 10,45,小智,-120,5,5,12,8,6,1,250,1,6
蛇年三部曲 長勝 9,56,小智,1060,12,6,7,6,4,2,220,3,9
蛇年二戰 長勝 8,47,小智,-20,3,3,13,4,12,2,190,2,7
蛇年首役 長勝 7,50,小智,260,11,2,9,6,8,2,220,1,12
太陽鳥 22,53,小智,480,8,4,9,6,11,1,340,3,9
長勝 6,53,小智,190,4,5,9,11,7,2,300,2,9
太陽鳥 21,55,小智,40,8,3,5,13,9,3,260,1,14
太陽鳥 20,77,小智,-770,9,4,13,20,7,6,240,2,6
太陽鳥 19,105,小智,220,16,8,19,16,28,4,240,2,7
太陽鳥 18,67,小智,420,13,6,9,14,14,5,270,2,8
太陽鳥 17,60,小智,-610,8,3,8,15,4,2,240,2,7
長勝 5,72,小智,1180,14,9,11,11,13,3,250,4,9
太陽鳥 16,79,小智,-950,11,4,12,23,8,11,240,3,6
太陽鳥 15,48,小智,-270,7,2,9,9,12,2,220,3,9
長勝 4,53,小智,-220,10,1,13,7,14,1,240,4,9
太陽鳥 14,71,小智,160,13,6,13,16,10,5,270,3,6
太陽鳥 13,47,小智,840,4,8,9,7,4,4,330,3,8
太陽鳥 12,78,小智,-130,16,5,16,14,14,1,190,3,7
長勝 3,54,小智,-70,8,3,7,14,6,6,220,2,12
太陽鳥 11,44,小智,-210,10,3,9,9,9,1,130,1,5
太陽鳥 10,48,小智,-230,6,1,4,14,6,5,330,3,8
太陽鳥 8,90,小智,-510,11,4,10,18,17,5,360,3,9
太陽鳥 9,54,小智,-830,9,2,12,12,9,4,270,2,6
太陽鳥 7,48,小智,160,10,2,5,10,8,4,360,4,10
 長勝 2,71,小智,1640,11,13,11,13,13,3,270,2,8
太陽鳥 6,68,小智,-760,13,5,14,18,17,4,210,1,10
太陽鳥 5,63,小智,-740,9,2,11,18,11,4,180,2,10
太陽鳥 3,42,小智,-370,7,2,7,9,10,3,160,1,4
太陽鳥 4,20,小智,40,3,1,4,3,5,0,210,0,6
太陽鳥 2,93,小智,-720,12,4,14,21,14,5,210,3,8
長勝 1,66,小智,880,10,9,11,13,8,7,300,2,7
太陽鳥 1,42,小智,-100,5,3,6,9,7,4,240,2,5
